Index,Domain,Subdomain_Level,Url_Length,Url_Depth,Have_At_Sign,Have_Tilde_Symbol,No_Https,Having_IP,Domain_In_Subdomains,Domain_In_Paths,Http_In_Hostname,Double_Slash_In_Path,Num_Dots,Num_Dashes_In_Hostname,Num_Underscore,Num_Percent,Num_Query_Components,Num_Ampersand,Num_Hash,Num_Numeric_Chars,Path_Length,Query_Length,Num_Sensitive_Words,Ext_Favicon,Redirection,Tiny_URL,Prefix_Suffix,DNS,Domain_Age,Domain_End,Rank_Host,Rank_Country,Iframe,Mouse_Over,Right_Click,Forwarding,Label
44,loosechangecoins.com.au,1,36,0,0,0,0,0,1,1,0,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
45,opensky.finance,1,25,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
46,urlscan.io,1,63,2,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,21,45,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
47,lazada.com.my,1,675,2,0,0,0,0,1,1,0,0,17,0,17,32,6,5,0,190,158,491,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
48,siepomaga.net,1,21,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
49,curves.com.tw,1,26,0,0,0,0,0,1,1,0,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
50,trackerc.osend.in,1,736,1,0,0,1,0,1,1,0,0,2,0,0,0,1,0,0,105,18,693,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
51,polygongroup.com,1,35,1,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
52,polygongroup.com,1,30,1,0,0,1,0,1,1,0,0,2,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
53,soc.tdc.dk,1,18,0,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
54,emailsecuritymonitor.com,1,52,2,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,1,16,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
55,sicredi.com.br,1,32,1,0,0,0,0,1,1,0,0,3,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
56,200.233.183.253:81,1,25,0,0,0,1,0,0,0,0,0,3,0,0,0,1,0,0,14,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
57,bancolombia.com,1,76,3,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,0,49,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
58,v1.anyswap.exchange,1,28,0,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
59,anyswap.net,1,24,0,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
60,ne12.bradesconetempresa.b.br,1,60,2,0,0,0,0,1,1,0,0,5,0,0,0,1,0,0,2,20,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0
61,avalanche.org,1,22,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
62,avalanche.org,1,26,0,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
63,signin.att.com,1,23,0,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
64,pekao.com.pl,1,25,0,0,0,0,0,1,1,0,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
65,buydomains.com,1,27,0,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
66,inboxadmin.org,1,23,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
67,credit-agricole.fr,1,100,4,0,0,0,0,1,1,0,0,3,1,0,0,1,0,0,0,70,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0
68,infomaniak.com,1,29,1,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
69,thefirstnews.com,1,85,2,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,0,57,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
70,secure-web.cisco.com,1,429,2,0,0,0,0,1,1,0,0,4,1,5,4,1,0,0,73,401,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0
71,dskbank.bg,1,33,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,15,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
72,vox.com,1,20,0,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0
73,elderecho.online,1,25,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
74,proofpoint.com,1,29,1,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,0,3,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0
75,bitcointalk.org,1,49,1,0,0,0,0,0,1,0,0,3,0,0,0,1,0,0,8,10,15,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
76,quicklyexplore.com,1,30,0,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
77,emkt.ing.es,1,105,9,0,0,0,0,1,1,0,0,2,0,1,0,1,0,0,30,86,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
78,pangolin.exchange,1,26,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
79,pangolin.exchange,1,30,0,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
80,txgbl.co,1,24,2,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,6,9,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
81,app.klimadao.finance,1,36,0,0,0,0,0,1,1,0,0,2,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
82,safemoon.com,1,21,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
83,safemoon.com,1,25,0,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
84,polygoncomposites.com,1,34,0,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
85,goonline.bnpparibas.pl,1,31,0,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
86,infomaniak.com,1,29,1,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
87,jaccs.co.jp,1,24,0,0,0,0,0,1,1,0,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
88,promerica.com.sv,1,29,0,0,0,0,0,1,1,0,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
89,promerica.com.sv,1,28,0,0,0,1,0,1,1,0,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
90,ipfs.io,1,21,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
91,switchy.io,1,23,0,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
92,amazonhomelogin.com,1,26,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
93,bajajfinserv.in,1,60,1,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,0,33,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
94,amazonbusiness.com,1,113,5,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,29,37,45,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
95,home.s.id,1,29,2,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,0,12,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0
96,vnet.sk,1,48,3,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,0,29,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
97,scaweb2.bsan.mobi,1,33,1,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,6,8,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
98,google.com,1,64,1,0,0,0,0,1,1,0,0,4,0,0,4,1,0,0,10,7,34,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
99,connect.intuit.com,1,194,5,0,0,0,0,1,1,0,0,2,0,1,0,2,1,0,63,136,31,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
100,links.notification.intuit.com,1,1061,2,0,0,1,0,1,1,0,0,3,0,1,0,1,0,0,193,9,1015,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
101,gruposeller.com,1,23,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
102,aupay.auone.jp,1,23,0,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
103,urlscan.io,1,63,2,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,16,45,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
104,rakuten-card.co.jp,1,30,0,0,0,1,0,1,1,0,0,3,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0
105,emailsecuritymonitor.com,1,52,2,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,5,16,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
106,vodafone-mvo.powercode.pro,1,34,0,0,0,1,0,1,1,0,0,2,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0
107,wis.pocketcard.co.jp,1,45,2,0,0,0,0,1,1,0,0,3,0,0,0,1,0,0,0,17,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0
108,my.jcb.co.jp,1,21,0,0,0,0,0,1,1,0,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
109,bridge.terra.money,1,27,0,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
110,bfmtv.com,1,22,0,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
111,stake-cardano-pool.com,1,35,0,0,0,0,0,1,1,0,0,2,2,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
112,fantom.foundation,1,30,0,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
113,angelfire.lycos.com,1,32,0,0,0,0,0,1,1,0,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
114,worldanimalprotection.org,1,38,0,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
115,play.decentraland.org,1,30,0,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
116,bankofengland.co.uk,1,32,0,0,0,0,0,1,1,0,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
117,oracle.com,1,33,1,0,0,0,0,1,1,0,0,3,0,0,0,1,0,0,0,11,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
118,amazonbusiness.com,1,70,6,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,21,40,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
119,digitaljournal.com,1,31,0,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
120,niftygateway.com,1,25,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
121,mobilesuica.com,1,38,1,0,0,0,0,1,1,0,0,3,0,0,0,1,0,0,0,11,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
122,b-group.com,1,20,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
123,b-group.com,1,19,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
124,bt-group.it,1,24,0,0,0,0,0,1,1,0,0,2,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0
125,bt-group.it,1,19,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0
126,bliopack.com,1,21,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
127,6solutions.com,1,26,0,0,0,1,0,1,1,0,0,2,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
128,urldefense.com,1,203,4,0,0,0,0,0,1,0,0,3,0,5,0,3,2,0,21,32,148,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
129,boursorama.com,1,27,0,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
130,urlscan.io,1,63,2,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,20,45,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
131,fakedocuments.com,1,50,2,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,25,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
132,fakedocuments.com,1,49,2,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,24,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
133,metamask.io,1,67,3,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,16,48,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0
134,wallet.roninchain.com,1,30,0,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
135,banco-internacional.es.aptoide.com,1,46,1,0,0,0,0,1,1,0,0,3,1,0,0,1,0,0,0,4,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
136,en.wikipedia.org,1,38,2,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,0,14,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
137,quickbooks.intuit.com,1,80,2,0,0,0,0,1,1,0,0,2,0,3,0,1,0,0,0,19,31,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
138,links.notification.intuit.com,1,853,2,0,0,1,0,1,1,0,0,3,0,1,0,1,0,0,134,9,807,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0
139,bregal.com,1,23,0,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
140,bing.com:443,1,72,0,0,0,0,0,1,1,0,0,2,0,0,0,2,1,0,28,1,46,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
141,bing.com:443,1,72,0,0,0,0,0,1,1,0,0,2,0,0,0,2,1,0,26,1,46,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
142,homecareassistancecsprings.com,1,39,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
143,slashdot.org,1,99,3,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,8,79,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
144,elink.thedailybeast.com,1,119,3,0,0,0,0,1,1,0,0,2,0,1,0,2,1,0,37,14,73,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0
145,elink.thedailybeast.com,1,78,3,0,0,0,0,1,1,0,0,3,0,0,0,1,0,0,27,47,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0
146,lovellshogan.tel,1,23,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
147,fbnj.mymortgage-online.com,1,35,0,0,0,0,0,1,1,0,0,2,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0
148,connect.intuit.com,1,194,5,0,0,0,0,1,1,0,0,2,0,1,0,2,1,0,57,136,31,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
149,links.notification.intuit.com,1,1031,2,0,0,1,0,1,1,0,0,3,0,1,0,1,0,0,168,9,985,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
150,45.65.254.71,1,31,1,0,0,0,1,0,0,0,0,4,0,0,0,1,0,0,9,11,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
151,euipo.europa.eu,1,61,1,0,0,0,0,1,1,0,0,2,0,0,0,1,0,1,9,9,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
152,amazonbusiness.com,1,45,2,0,0,0,0,1,1,0,0,3,0,0,0,1,0,0,2,15,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
153,bing.com:443,1,72,0,0,0,0,0,1,1,0,0,2,0,0,0,2,1,0,25,1,46,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
154,capitalfarmcredit.com,1,34,0,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
155,hotelesyviajesmexico.com,1,45,1,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
156,faucetdgb.com,1,22,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0
157,bing.com:443,1,72,0,0,0,0,0,1,1,0,0,2,0,0,0,2,1,0,27,1,46,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
158,bf-cop.nnodes.cl,1,25,0,0,0,0,0,1,1,0,0,2,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
159,tracking.postnord.com,1,95,1,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,43,4,61,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
160,urlscan.io,1,63,2,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,20,45,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
