Index,Domain,Have_IP,Have_At,URL_Length,Redirection,https_Domain,TinyURL,Prefix_Suffix,DNS_Record,Web_Traffic,Domain_Age,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards,Label
38,people.reed.edu,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
39,flickr.com,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
40,flickr.com,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
41,flickr.com,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
42,flickr.com,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
43,flickr.com,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
44,flickr.com,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
45,bm30.es,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0
46,mailbox.univie.ac.at,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
47,web.tiscali.it,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0
48,stm.info,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
49,beeflowers.com,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
50,flickr.com,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
51,flickr.com,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
52,pbs.org,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,quuxuum.org,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
54,nyctourist.com,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,0
55,columbia.edu,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
56,mta.info,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,flickr.com,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
58,flickr.com,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
59,w3.teaser.fr,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0
60,chnm.gmu.edu,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
61,nycsubway.org,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
62,washingtonpost.com,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0
63,iawholesale.com,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0
64,cs.sunysb.edu,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
65,eli.sdsu.edu,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0
66,cs.pitt.edu,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
67,cgm.cs.mcgill.ca,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
68,eecs.umich.edu,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
69,csc.liv.ac.uk,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
70,cs.sunysb.edu,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
71,nist.gov,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
72,cs.ucr.edu,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
73,oopweb.com,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
74,leekillough.com,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0
75,personal.kent.edu,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
76,eli.sdsu.edu,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0
77,math.sun.ac.za,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
78,cs.cmu.edu,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
79,algo.inria.fr,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
80,algo.inria.fr,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
81,informatics.sussex.ac.uk,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
82,cs.duke.edu,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
83,dis.uniroma1.it,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
84,cs.chalmers.se,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
85,cs.sunysb.edu,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
86,thomas.baudel.name,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
87,cosc.canterbury.ac.nz,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
88,hbmeyer.de,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0
89,cse.buffalo.edu,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0
90,cs.hope.edu,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0
91,faqs.org,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0
92,howstuffworks.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,ross.net,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0
94,angelfire.com,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
95,debugmode.com,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
96,cipr.rpi.edu,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0
97,webopedia.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,elook.org,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
99,oldwww.acm.org,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
100,compressconsult.com,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,0
101,cs.brandeis.edu,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
102,ifp.uiuc.edu,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0
103,eivind.imm.dtu.dk,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
104,dimacs.rutgers.edu,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0
105,ee.umn.edu,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0
106,dogma.net,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0
107,research.microsoft.com,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
108,ece.cmu.edu,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
109,cs.mu.oz.au,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0
110,ee2.caltech.edu,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
111,cns.nyu.edu,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
112,utdallas.edu,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
113,ece.msstate.edu,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
114,gilchrist.ca,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0
115,alexvn.freeservers.com,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0
116,sipi.usc.edu,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
117,cs.brandeis.edu,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
118,cs.waikato.ac.nz,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
119,alumnus.caltech.edu,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
120,www-video.eecs.berkeley.edu,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
121,cs.duke.edu,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
122,ece.nmsu.edu,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0
123,psi.utoronto.ca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,cloanto.com,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
125,cipr.rpi.edu,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0
126,irisa.fr,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
127,ee.stanford.edu,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
128,cosc.canterbury.ac.nz,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
129,cobweb.ecn.purdue.edu,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0
130,princeton.edu,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
131,www1.hft-leipzig.de,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0
132,ifp.illinois.edu,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0
133,stanford.edu,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
134,ee.ucla.edu,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
135,cs.cmu.edu,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
136,nlm.nih.gov,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
137,ndevilla.free.fr,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0
138,cs.cmu.edu,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
139,kasrl.org,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
140,sipi.usc.edu,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
141,apmaths.uwo.ca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,reduce-algebra.com,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,0
143,en.wikipedia.org,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,www4.ncsu.edu,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0
145,symbolicnet.org,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0
146,cecm.sfu.ca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,aimath.org,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
148,magma.maths.usyd.edu.au,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0
149,math.fsu.edu,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
150,cecm.sfu.ca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,orcca.on.ca,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
152,orcca.on.ca,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
153,math.unm.edu,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
154,math.unm.edu,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
155,www-troja.fjfi.cvut.cz,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0
156,math.unm.edu,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
157,math.unm.edu,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
158,uni-mannheim.de,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
159,math.unm.edu,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
160,msri.org,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
161,math.clemson.edu,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
162,www-calfor.lip6.fr,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,0
163,cocoa.dima.unige.it,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,risc.uni-linz.ac.at,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0
165,tnt.math.se.tmu.ac.jp,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0
166,cargo.wlu.ca,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0
167,nicolas.thiery.name,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
168,symbolicnet.org,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
169,win.tue.nl,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
170,oldweb.cecm.sfu.ca,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
171,digilander.libero.it,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
172,dcs.st-and.ac.uk,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0
173,www-groups.mcs.st-andrews.ac.uk,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0
174,cecm.sfu.ca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,zib.de,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
176,mathematik.uni-kl.de,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
177,unirioja.es,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
178,ukrgap.exponenta.ru,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0
179,turnbull.mcs.st-and.ac.uk,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0
180,rand.org,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,maths.usyd.edu.au,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
182,ams.sunysb.edu,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
183,informatik.uni-trier.de,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0
184,dur.ac.uk,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
185,lsi.upc.edu,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
186,cs.le.ac.uk,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
187,newton.ac.uk,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
188,cs.purdue.edu,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
189,siam.org,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,cs.umd.edu,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
191,cui.unige.ch,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
192,siam.org,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
193,siam.org,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
194,cs.brown.edu,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
195,cs.jhu.edu,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
196,dimacs.rutgers.edu,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0
197,dimacs.rutgers.edu,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0
198,dimacs.rutgers.edu,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0
199,dcs.ed.ac.uk,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
200,ti.inf.ethz.ch,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
201,siam.org,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
202,siam.org,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
203,idsia.ch,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
204,siam.org,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
205,siam.org,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
206,siam.org,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
207,aladdin.cs.cmu.edu,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0
208,msri.org,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
209,conferences.hu,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
210,scs.carleton.ca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211,staff.amu.edu.pl,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
212,siam.org,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
213,cs.rochester.edu,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
214,newton.ac.uk,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
215,ii.uib.no,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
216,ii.uib.no,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
217,lami.univ-evry.fr,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,0
218,ii.uib.no,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
219,dis.uniroma1.it,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0
220,dis.uniroma1.it,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0
221,dis.uniroma1.it,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0
222,ipam.ucla.edu,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
223,gauss.ececs.uc.edu,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0
224,cs.bris.ac.uk,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
225,www-math.mit.edu,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0
226,theory.stanford.edu,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
227,usc.edu,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
228,cs.ucy.ac.cy,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
229,infolab.stanford.edu,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0
230,cosc.canterbury.ac.nz,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
231,agner.org,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
232,segobit.com,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,0
233,random.mat.sbg.ac.at,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0
234,netlib.org,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
235,random.mat.sbg.ac.at,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0
236,saccenti.com,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
237,fourmilab.ch,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
238,honeylocust.com,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,0
239,statistik.wu-wien.ac.at,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0
240,gnu.org,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
241,csrc.nist.gov,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
242,billauer.co.il,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
243,taygeta.com,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
244,fourmilab.ch,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
245,robertnz.net,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0
246,olympus.net,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
247,eecs.umich.edu,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
248,cse.iitk.ac.in,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
249,www-cs-faculty.stanford.edu,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0
250,liinwww.ira.uka.de,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
251,nada.kth.se,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
252,www-math.mit.edu,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0
253,www-cs-staff.stanford.edu,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0
254,brpreiss.com,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0
255,dcc.uchile.cl,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
256,math.upenn.edu,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
257,elsevier.com,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
258,elsevier.com,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
259,liinwww.ira.uka.de,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
260,sciencedirect.com,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
261,springerlink.com,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0
262,elsevier.com,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
263,www3.interscience.wiley.com,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0
264,springer.com,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
265,journals.cambridge.org,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
266,cs.brown.edu,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0
267,elsevier.com,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
268,journals.elsevier.com,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
269,cs.umd.edu,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
270,cs.cmu.edu,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
271,algo2.iti.uni-karlsruhe.de,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0
272,theory.csail.mit.edu,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0
273,win.tue.nl,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
274,mmrc.iss.ac.cn,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0
275,lri.fr,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
276,cs.bris.ac.uk,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
277,cgi.csc.liv.ac.uk,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0
278,ndevilla.free.fr,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0
279,cs.princeton.edu,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
280,iti.fh-flensburg.de,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0
281,atschool.eduweb.co.uk,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0
282,neubert.net,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
283,epaperpress.com,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
284,creativyst.com,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
285,stanford.edu,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
286,mila.cs.technion.ac.il,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
287,en.wikipedia.org,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
288,www-igm.univ-mlv.fr,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
289,softpanorama.org,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0
290,itman.narod.ru,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
291,freshmeat.net,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0
292,softpanorama.org,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0
293,arnosoftwaredev.blogspot.com,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0
294,en.wikipedia.org,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
295,webglimpse.net,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0
296,epaperpress.com,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
297,ics.forth.gr,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
298,concentric.net,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0
299,tropicalcoder.com,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0
300,arxiv.org,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
301,en.wikipedia.org,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
302,cs.technion.ac.il,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
303,liinwww.ira.uka.de,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
304,loebner.net,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
305,tau.ac.il,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
306,compapp.dcu.ie,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0
307,cs.iastate.edu,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0
308,cs.cmu.edu,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
309,cs.cmu.edu,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
310,aaai.org,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
311,geocities.com,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0
312,helios.ecn.purdue.edu,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0
313,cse.buffalo.edu,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
314,cs.iastate.edu,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
315,pages.cpsc.ucalgary.ca,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
