,Subdomain_Level,Url_Length,Have_At_Sign,Have_Tilde_Symbol,No_Https,Having_IP,Domain_In_Subdomains,Domain_In_Paths,Http_In_Hostname,Double_Slash_In_Path,Num_Dots,Num_Dashes_In_Hostname,Num_Underscore,Num_Percent,Num_Query_Components,Num_Ampersand,Num_Hash,Num_Numeric_Chars,Path_Length,Query_Length,Num_Sensitive_Words,Ext_Favicon,Redirection,Tiny_URL,Prefix_Suffix,DNS,Domain_Age,Domain_End,Rank_Host,Rank_Country,Iframe,Mouse_Over,Right_Click,Forwarding
5455,1,22,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
4170,1,85,0,0,1,0,1,1,0,0,3,0,0,0,1,0,0,35,64,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
13330,1,39,0,0,1,0,0,1,0,0,3,0,0,0,1,0,0,0,11,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1
9054,1,47,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
2069,1,34,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,1,10,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
974,1,29,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,12,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
1425,1,27,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,8,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
836,1,22,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,7,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
3806,1,63,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,0,43,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
9302,1,34,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,3,7,0,0,0,0,0,0,0,0,1,1,0,0,0,0
12042,1,38,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,3,7,8,0,0,0,0,0,0,0,1,1,1,0,0,0,0
8501,1,42,0,0,0,0,1,1,0,0,3,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1
9841,1,59,0,0,0,0,1,1,0,0,3,2,0,0,1,0,0,3,1,15,0,0,0,0,1,0,0,0,1,1,0,0,0,0
81,1,36,0,0,0,0,1,1,0,0,2,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
8280,1,50,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,0,26,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
12570,1,110,0,0,1,0,1,1,0,0,3,1,1,2,1,0,0,8,67,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0
11553,1,21,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,8,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
4824,1,60,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,34,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
11610,1,31,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
7374,1,35,0,0,1,0,1,1,0,0,2,0,0,0,1,0,0,14,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9926,1,34,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
13000,1,38,0,0,0,0,1,1,0,0,2,1,0,0,1,0,0,0,6,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0
58,1,28,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
7686,1,51,0,0,0,0,1,1,0,0,6,0,0,0,1,0,0,2,11,0,1,0,0,1,0,0,0,0,1,1,1,1,1,1
5465,1,82,0,0,0,0,1,1,0,0,3,0,0,0,1,0,0,0,61,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
11594,1,52,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,0,28,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
8166,1,57,0,0,0,0,1,1,0,0,3,0,0,0,1,0,0,0,34,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
14098,1,56,0,0,1,0,0,1,0,0,2,0,0,0,1,0,0,6,29,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
6549,1,37,0,0,0,0,1,1,0,0,4,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1
1102,1,133,0,0,0,0,1,1,0,0,7,0,0,0,6,5,0,17,9,103,0,0,1,0,0,0,1,1,1,1,0,0,0,0
472,1,31,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,12,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
8475,1,50,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10879,1,38,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,6,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0
5940,1,102,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,8,77,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
10649,1,33,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2339,1,170,0,0,0,0,1,1,0,0,2,0,5,0,5,4,0,1,36,103,0,0,0,0,0,0,0,0,1,1,0,0,0,0
8438,1,26,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
1708,1,21,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1
3657,1,31,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
5810,1,201,0,0,0,0,1,1,0,0,4,0,2,5,9,8,0,28,4,174,0,0,0,0,0,0,0,0,1,1,0,0,0,0
6858,1,34,0,0,0,0,1,1,0,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
11316,1,20,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,7,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
3315,1,74,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,0,28,14,0,0,0,0,0,0,0,0,1,1,0,0,0,0
726,1,43,0,0,1,0,0,1,0,0,2,0,0,0,1,0,0,0,14,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
1384,1,34,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0
2340,1,22,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,8,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
3333,1,114,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,44,80,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
8637,1,57,1,0,0,0,1,1,0,0,4,2,0,0,1,0,1,4,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
10443,1,32,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2670,1,240,0,0,0,0,1,1,0,0,4,0,1,0,1,0,0,107,184,30,0,0,1,0,0,0,0,0,1,1,0,0,0,1
8409,1,27,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
8978,1,41,0,0,0,0,1,1,0,0,2,1,1,0,1,0,0,4,14,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
3385,1,36,0,0,1,1,0,0,0,0,3,0,1,0,1,0,0,12,14,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
5202,1,245,0,0,0,0,1,1,0,0,2,0,4,0,4,3,0,17,127,91,0,0,0,0,0,0,0,0,1,1,0,0,0,0
4405,1,49,0,0,0,0,1,1,0,0,3,0,3,0,1,0,0,1,1,17,0,0,0,0,0,0,1,1,1,1,0,0,0,0
2716,1,27,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
5472,1,26,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
544,1,201,0,0,0,0,1,1,0,0,2,0,2,2,2,1,0,23,59,120,0,0,0,0,0,0,0,0,1,1,0,0,0,0
14121,1,37,0,0,1,0,1,1,0,0,2,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2678,1,31,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
2767,1,40,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,0,13,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
11332,1,29,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1
501,1,24,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0
4851,1,231,0,0,0,0,1,1,0,0,7,0,1,7,3,2,0,38,18,187,0,0,1,1,0,0,0,1,1,1,0,0,0,0
10719,1,34,0,0,0,0,1,1,0,0,2,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
3560,1,15,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
4937,1,40,0,0,0,0,1,1,0,0,2,0,3,0,1,0,0,0,21,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0
1869,1,47,0,0,0,0,1,1,0,0,2,1,1,0,1,0,0,0,14,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1
13511,1,65,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,15,37,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
11474,1,24,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,3,7,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
12041,1,28,0,0,1,0,0,1,0,0,2,0,0,0,1,0,0,3,7,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
3658,1,32,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,10,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
992,1,22,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,2,8,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
5067,1,168,0,0,1,0,1,1,0,0,4,0,1,4,5,4,0,27,19,123,0,0,0,0,0,0,0,0,1,1,0,0,0,1
13899,1,117,1,0,1,0,1,1,0,0,4,0,0,0,1,0,0,0,61,27,0,0,0,0,0,0,0,0,1,1,0,0,0,0
13604,1,37,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,13,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
6278,1,47,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,18,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
4683,1,35,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,5,21,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
6230,1,37,0,0,0,0,1,1,0,0,4,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
13076,1,39,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,1,14,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
3676,1,134,0,0,0,0,0,1,0,0,1,0,2,0,11,10,0,25,11,102,0,0,0,1,0,0,0,1,1,1,0,0,0,0
4098,1,82,0,0,0,0,1,1,0,0,3,0,0,0,1,0,0,0,41,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
13240,1,46,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,18,10,0,0,0,0,0,0,1,1,1,1,0,0,0,0
8661,1,26,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
2076,1,28,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
7103,1,33,0,0,0,0,1,1,0,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
7007,1,38,0,0,0,0,1,1,0,0,2,2,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0
6569,1,37,0,0,0,0,1,1,0,0,4,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1
12533,1,49,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,16,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
3296,1,37,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,0,15,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
3277,1,208,0,0,0,0,1,1,0,0,3,0,0,0,3,2,0,33,11,171,0,0,0,0,0,0,0,1,1,1,0,0,0,0
13114,1,34,0,0,1,0,1,1,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
12518,1,68,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3828,1,26,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
1087,1,22,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,3,8,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
8961,1,27,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
2619,1,33,0,0,0,0,1,1,0,0,2,2,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1
12339,1,49,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,3,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10180,1,44,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0
6820,1,40,0,0,0,0,1,1,0,0,3,0,0,0,1,0,0,4,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
12787,1,36,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
8719,1,244,0,0,0,0,1,1,0,0,2,0,2,0,1,0,0,32,215,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
7867,1,41,0,0,1,0,0,1,0,0,2,0,0,0,1,0,0,0,10,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
6811,1,39,0,0,0,0,1,1,0,0,3,3,0,0,1,0,0,4,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1
3832,1,50,0,0,1,0,1,1,0,0,2,0,0,0,1,0,0,12,23,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
6892,1,35,0,0,0,0,1,1,0,0,3,0,0,0,1,0,0,5,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
9594,1,32,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
1542,1,29,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
8686,1,26,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
8269,1,40,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,2,16,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
6510,1,37,0,0,0,0,1,1,0,0,4,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1
531,1,87,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,0,62,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
6626,1,41,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
1677,1,45,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,18,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0
862,1,61,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,45,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
6550,1,37,0,0,0,0,1,1,0,0,4,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1
5121,1,36,0,0,0,0,1,1,0,0,3,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
9365,1,37,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,14,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
5562,1,42,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,0,23,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
12446,1,33,0,0,1,0,1,1,0,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
4513,1,24,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
3708,1,19,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
6520,1,37,0,0,0,0,1,1,0,0,4,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1
4544,1,50,0,0,1,0,0,1,0,0,2,0,0,2,2,1,0,4,5,27,0,0,0,0,0,0,1,1,1,1,1,1,1,1
6688,1,40,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,20,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
6296,1,84,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,63,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
8881,1,26,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
1003,1,33,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
1692,1,36,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
10332,1,45,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,2,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0
5977,1,31,0,0,1,0,1,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
13833,1,33,0,0,1,1,0,0,0,0,4,0,0,0,1,0,0,12,11,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
11222,1,17,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
10490,1,33,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
12493,1,60,0,0,0,0,1,1,0,0,4,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
13789,1,36,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,3,15,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
12426,1,51,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9156,1,86,0,0,0,0,1,1,0,0,3,0,0,0,1,0,0,20,59,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
13342,1,30,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0
2958,1,111,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,15,80,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
4259,1,28,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
8869,1,25,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
2225,1,24,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
11045,1,48,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,0,24,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
12978,1,23,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0
461,1,53,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,29,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
3787,1,150,0,0,0,0,1,1,0,0,2,1,8,0,4,3,0,20,1,107,0,0,0,0,1,0,1,1,1,1,0,0,0,0
2631,1,46,0,0,0,0,1,1,0,0,5,0,0,0,1,0,0,11,21,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
7615,1,35,0,0,0,0,1,1,0,0,5,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
9698,1,67,0,0,0,0,0,1,0,0,2,1,3,0,1,0,0,0,36,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0
1688,1,25,0,0,0,0,1,1,0,0,2,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
13709,1,104,1,0,0,0,1,1,0,0,4,0,0,0,1,0,0,0,16,53,0,0,0,1,0,0,1,1,1,1,0,0,0,0
