,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix_Suffix,DNS_Record,Domain_Age,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards
11423,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
984,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
10528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9451,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2369,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
12510,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6595,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
10001,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
11715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3248,0,0,0,3,0,0,0,0,0,1,1,0,0,0,0
2085,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
68,0,0,0,2,0,0,0,1,0,1,1,1,1,1,1
6326,0,0,0,5,0,0,0,0,0,1,1,0,0,0,0
4463,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
7250,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
2107,0,0,0,6,0,0,0,0,0,1,1,0,0,0,0
11610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7318,0,0,0,3,0,0,0,0,0,1,1,0,0,0,0
8405,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
11466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6861,0,0,0,5,0,0,0,0,0,1,1,0,0,0,0
10824,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7532,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10574,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
2286,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2565,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1381,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1
11281,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
6093,0,0,0,5,0,0,0,0,0,1,1,0,0,0,0
10238,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
5281,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
5743,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3696,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
7264,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6991,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0
9115,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
7979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7470,0,0,0,5,0,0,1,0,1,1,1,0,0,0,0
10297,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
8220,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
12124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12637,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
6168,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0
659,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0
3287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11523,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
9378,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
8943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11361,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
771,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0
11895,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
4950,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
11257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5491,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1962,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1
4314,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
1781,0,0,0,5,0,0,0,0,0,1,1,0,0,0,0
5395,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
10573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7921,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
333,0,0,0,2,0,0,0,1,1,1,1,0,0,0,0
4579,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
6682,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
6343,0,0,0,5,0,0,0,0,0,1,1,0,0,0,0
8901,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
11024,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5988,0,0,0,3,0,0,0,0,0,1,1,0,0,0,0
9096,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1
11332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
651,0,0,0,2,0,0,0,0,0,1,1,1,1,1,1
7438,0,0,0,3,0,0,1,1,1,1,1,0,0,0,0
2630,0,0,0,5,0,0,0,0,0,1,1,0,0,0,0
1778,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6547,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
4672,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2379,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
597,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1
12121,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8724,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2803,0,0,0,2,0,0,0,1,0,0,0,1,1,1,1
3263,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7320,0,0,0,5,0,0,0,0,0,1,1,0,0,0,0
12172,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
7554,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
693,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
1880,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
12094,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7191,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0
870,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1
2857,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
7267,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
6942,0,0,0,9,0,0,0,0,0,1,1,0,0,0,0
4761,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0
4062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9795,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1
8067,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3022,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
7079,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
7261,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2157,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
8598,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1272,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
3983,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
12289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1389,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
9162,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
1482,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1
5417,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
6366,0,0,0,3,0,0,0,0,0,1,1,0,0,0,0
9348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
682,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1
11335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5620,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
1051,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1
10262,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
9535,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0
12139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9640,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0
8816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2093,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1
663,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
11656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7426,0,1,0,5,0,0,0,0,0,1,1,0,0,0,0
8742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10274,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
12429,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2915,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0
197,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1
10851,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11823,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
293,0,0,1,0,0,1,0,1,0,1,1,1,1,1,1
11898,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
3039,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0
12728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9553,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1
3665,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1562,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10755,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
11391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9938,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
6353,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0
12659,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
9830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3322,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
9431,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
11863,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
6129,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
901,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1
12188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11709,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
8516,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
6836,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
949,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1
6990,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
2397,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1
3679,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0
6993,0,0,0,5,0,0,0,0,0,1,1,0,0,0,0
2891,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
10498,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
11396,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7496,0,0,0,2,0,0,0,1,1,1,1,0,0,0,0
7474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
10504,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8992,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2132,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
3533,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
10045,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2253,0,0,0,2,0,0,0,0,0,0,0,1,1,1,1
1821,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
5774,0,0,0,3,0,0,0,1,0,1,1,0,0,0,0
8894,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
8132,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1038,0,0,0,3,0,0,0,0,0,1,1,1,1,1,1
8810,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
1741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8408,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
10294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1412,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
9917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12255,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
9066,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
12325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6178,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0
9562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6988,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0
10387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
