,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix_Suffix,DNS_Record,Web_Traffic,Domain_Age,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards
2880,0,0,1,2,0,0,0,0,0,1,0,1,0,0,1,0
7183,0,0,1,5,0,0,0,0,0,1,1,1,0,0,1,0
4060,0,0,1,4,0,0,0,0,0,1,1,1,0,0,1,0
7584,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
3029,0,0,1,5,0,0,0,0,0,1,1,1,0,0,1,0
4425,0,0,1,5,0,0,0,0,0,1,0,1,0,0,1,0
5099,0,0,0,3,0,0,0,0,0,1,1,1,0,0,1,0
1580,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1
8936,0,0,0,4,0,0,0,0,0,1,0,1,0,0,1,0
2764,0,0,1,3,0,0,0,0,0,0,0,1,0,0,1,0
9176,1,0,1,4,0,0,0,0,1,1,1,1,0,0,1,0
366,0,0,1,4,0,0,0,0,0,1,1,1,0,0,1,1
4261,0,0,1,2,0,0,0,0,0,1,0,0,0,0,1,0
3240,0,0,1,3,0,0,0,0,0,1,1,1,0,0,1,0
9216,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0
9845,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
8198,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1
6903,0,0,1,2,0,0,0,0,0,1,1,1,0,0,1,0
5316,0,0,1,4,0,0,0,0,0,1,0,1,0,0,1,0
8554,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0
2693,0,0,1,10,0,0,0,0,0,1,0,1,0,0,1,0
1811,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0
6850,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0
9760,0,0,0,2,0,0,0,0,0,1,1,1,0,0,1,0
8617,0,0,1,2,0,0,0,0,0,1,0,1,0,0,1,0
7090,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
2859,0,0,1,7,0,0,0,0,0,1,0,0,0,0,1,0
5842,0,0,1,5,0,0,1,1,0,1,1,1,0,0,1,0
7802,0,0,1,5,0,0,1,0,0,0,0,1,0,0,1,0
8970,0,0,0,2,0,0,0,1,1,0,1,1,0,0,1,0
9408,0,0,0,3,0,0,0,0,0,0,0,1,0,0,1,0
4609,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0
7374,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0
2225,0,0,1,4,0,0,0,0,0,1,0,0,0,0,1,0
9870,0,0,1,4,0,0,0,0,0,1,1,1,0,0,1,0
2439,0,0,1,6,0,0,0,0,1,1,1,1,0,0,1,0
7482,0,0,1,5,0,0,0,0,0,1,0,0,1,0,1,0
9006,0,0,1,9,1,0,0,0,0,1,1,0,0,0,1,0
2708,0,0,1,2,0,0,0,0,0,1,1,1,0,0,1,0
9909,0,0,0,1,1,0,0,0,0,1,1,1,0,0,1,0
292,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0
5936,0,1,1,2,0,0,0,0,0,1,1,1,1,1,1,1
5408,0,0,1,4,0,0,0,1,0,1,0,1,0,0,1,0
6475,0,0,1,5,0,0,0,0,0,1,0,1,1,1,1,1
3011,0,0,1,2,0,0,0,0,0,1,1,1,0,0,1,0
1824,0,0,1,2,0,0,0,0,0,1,1,1,0,0,1,0
9737,0,0,1,5,0,0,0,0,0,1,0,1,0,0,1,0
8163,0,0,0,3,0,0,0,0,0,0,0,1,0,0,1,0
2950,0,0,1,2,0,0,0,0,0,1,0,0,0,0,1,0
6249,0,0,1,3,0,0,0,0,0,0,1,1,0,0,1,0
1959,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1
1471,0,0,1,2,0,0,0,0,0,1,0,1,0,0,1,1
7660,0,0,1,3,0,0,0,1,0,1,0,1,0,0,1,0
9184,0,0,1,9,0,0,0,0,0,1,0,0,0,0,1,0
98,0,0,1,9,0,0,0,0,0,1,0,0,0,0,1,1
4045,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1
7404,0,0,1,2,0,0,0,0,0,1,0,1,0,0,1,0
7981,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0
1229,0,0,1,2,0,0,0,0,1,1,1,1,0,0,1,0
8688,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
3762,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0
9545,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
4243,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0
6783,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0
4083,0,0,1,4,0,0,0,0,0,1,1,1,0,0,1,0
4102,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0
2667,0,0,1,1,0,0,0,0,1,0,1,1,1,1,1,1
5630,0,0,1,4,0,0,0,1,0,0,0,0,0,0,1,0
9896,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0
5313,0,0,1,5,0,0,0,0,0,0,0,1,1,1,1,1
1832,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0
3738,0,0,1,4,0,0,0,0,0,1,1,1,0,0,1,1
1265,0,0,1,4,0,0,0,0,0,0,0,1,0,0,1,0
2891,0,0,1,6,0,0,0,0,0,1,1,1,0,0,1,0
1910,0,0,1,3,0,0,0,1,0,1,0,1,0,0,1,0
6723,0,0,0,2,0,0,0,0,0,1,0,1,0,0,1,0
2912,0,0,1,2,0,0,0,0,0,1,1,1,0,0,1,0
1470,0,0,1,6,0,0,0,0,0,1,1,1,0,0,1,0
2318,0,0,1,4,0,0,0,0,0,1,0,1,0,0,1,0
9648,0,0,1,1,0,0,0,1,0,1,1,1,1,1,1,1
3934,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0
2604,0,0,1,2,0,0,0,0,1,1,1,1,0,0,1,0
175,0,0,1,8,0,0,0,0,0,1,0,1,0,0,1,0
303,0,0,1,4,0,0,0,0,0,1,1,1,0,0,1,0
9633,0,0,1,2,0,0,1,0,0,1,1,1,0,0,1,0
9479,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,0
5827,0,0,0,2,0,0,0,0,0,1,0,1,0,0,1,0
2415,0,0,1,2,0,0,0,0,0,1,0,0,1,1,1,1
5112,0,0,1,6,0,0,0,0,0,1,0,0,0,0,1,0
501,0,0,1,6,0,0,0,0,0,0,0,1,0,0,1,0
1460,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0
4582,0,0,1,5,0,0,0,0,0,1,1,1,0,0,1,0
3408,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0
3047,0,0,1,10,0,0,0,0,0,1,0,1,0,0,1,0
4995,0,0,1,1,1,0,1,0,0,1,0,1,0,0,1,0
6878,0,0,1,2,0,0,0,0,1,1,1,1,0,0,1,0
3823,0,0,1,7,1,0,0,0,0,1,0,1,0,0,1,0
3688,0,0,1,2,0,0,0,0,0,1,0,0,0,0,1,0
8974,0,0,1,3,0,0,0,1,0,0,0,1,0,0,1,0
101,0,0,1,3,0,0,0,0,0,1,0,1,1,1,1,1
155,0,0,1,3,0,0,0,0,0,1,1,1,0,0,1,0
6244,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0
5778,0,0,0,1,0,0,0,0,1,1,1,1,0,0,1,0
346,0,0,1,4,0,0,0,0,0,1,1,1,0,0,1,1
1085,0,0,1,2,0,0,1,0,0,1,0,0,0,0,1,1
9605,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0
3478,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0
55,0,0,1,3,0,0,0,0,1,1,1,1,0,0,1,0
7586,0,0,1,2,0,0,0,0,0,1,0,1,0,0,1,0
6872,0,0,1,7,0,0,0,1,0,0,0,0,0,0,1,0
4514,0,0,1,4,0,0,0,0,0,1,0,1,0,0,1,0
3184,0,0,1,2,0,0,0,0,0,1,0,0,0,0,1,0
8813,0,0,1,7,0,0,0,0,0,1,0,0,0,0,1,0
3538,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0
509,0,0,1,3,0,0,0,0,0,1,1,0,0,0,1,0
3753,0,0,1,3,0,0,0,0,0,1,1,1,0,0,1,0
3522,0,0,1,5,0,0,0,0,0,1,0,1,0,0,1,0
7490,0,0,0,2,0,0,1,0,0,1,0,0,1,1,1,1
622,0,0,1,6,0,0,0,0,0,1,0,0,0,0,1,0
100,0,0,1,2,0,0,0,0,0,0,1,1,0,0,1,0
4625,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,1
1153,0,0,1,2,0,0,0,0,0,1,0,1,0,0,1,0
5393,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
9520,0,0,0,2,0,0,0,0,1,0,1,1,0,0,1,0
4344,0,0,1,4,0,0,0,0,0,1,1,1,0,0,1,0
549,0,0,1,2,0,0,0,0,0,1,0,1,0,0,1,0
7459,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1
9544,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1
3540,0,0,1,4,0,0,0,0,0,1,0,1,0,0,1,0
3355,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0
6798,0,0,0,3,0,0,0,0,0,1,0,1,1,1,1,1
6849,0,0,1,5,0,0,0,0,0,1,0,1,0,0,1,0
6255,0,0,1,2,0,0,1,0,0,1,0,1,0,0,1,1
5178,0,0,1,4,0,0,0,0,0,1,0,1,0,0,1,0
9627,0,0,0,2,0,0,0,0,0,1,0,1,0,0,1,0
5035,0,0,1,2,0,0,1,0,0,1,0,0,0,0,1,0
1425,0,0,1,4,0,0,0,0,0,0,0,1,0,0,1,0
6959,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0
1348,0,0,1,2,0,0,0,0,0,1,1,1,0,0,1,0
9877,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1
8678,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0
8540,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1
5652,0,0,1,6,0,0,0,0,0,1,0,0,1,0,1,0
8083,0,1,1,6,0,0,1,0,0,1,0,0,0,0,1,0
5379,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0
9958,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0
8503,0,0,1,2,0,0,0,0,0,1,1,1,0,0,1,0
7384,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0
9528,0,0,0,3,0,0,0,0,0,1,1,1,0,0,1,0
565,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0
6873,0,0,1,6,0,0,0,0,0,1,1,1,0,0,1,0
1291,0,0,1,5,0,0,0,0,0,1,0,0,0,0,1,0
580,0,0,1,2,0,0,0,0,1,1,1,1,0,0,1,0
7335,0,0,1,5,0,0,1,1,0,1,1,1,0,0,1,0
8446,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0
5725,0,0,1,5,0,0,0,0,0,1,0,0,1,0,1,0
7407,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
6944,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2961,0,0,1,3,0,0,0,0,0,1,1,1,0,0,1,1
3470,0,0,1,2,0,0,0,0,0,0,1,1,0,0,1,0
7213,0,0,0,2,0,0,0,0,1,1,1,1,0,0,1,0
5852,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0
9476,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0
6657,0,0,1,5,0,0,0,0,0,0,0,0,0,0,1,0
9610,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
6283,1,0,0,2,0,0,0,0,0,1,1,1,0,0,1,0
7120,0,0,0,2,0,0,0,1,0,1,0,1,1,1,1,1
3798,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,1
93,0,0,1,4,0,0,0,0,0,1,1,1,0,0,1,0
956,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0
526,0,0,1,5,0,0,0,0,0,1,0,1,0,0,1,0
8968,0,0,0,2,0,0,0,0,0,0,1,1,0,0,1,0
1943,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
2416,0,0,1,2,0,0,0,0,0,1,0,1,0,0,1,1
5663,0,0,0,2,0,0,0,0,0,1,1,1,0,0,1,0
1432,0,0,1,3,0,0,0,0,0,0,1,0,0,0,1,1
5016,0,0,1,4,0,0,0,0,0,1,0,1,1,1,1,1
4339,0,0,1,2,0,0,0,0,0,1,0,0,0,0,1,0
969,0,0,1,3,0,0,0,0,0,1,1,1,0,0,1,0
7463,0,0,1,3,0,0,0,1,0,1,0,1,0,0,1,0
3415,0,0,1,6,0,0,0,0,0,1,1,1,0,0,1,0
4125,0,0,1,6,0,0,0,0,0,1,0,0,0,0,1,0
5291,0,0,0,3,0,0,0,0,0,0,0,1,0,0,1,0
1575,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0
629,0,0,1,4,0,0,0,0,0,1,0,1,0,0,1,0
1665,0,0,1,2,0,0,0,0,0,1,0,0,1,1,1,1
56,0,0,1,5,0,0,0,0,0,1,0,1,0,0,1,0
1075,0,0,1,2,0,0,0,0,0,1,0,1,0,0,1,0
2211,0,0,1,4,0,0,1,0,0,1,1,1,0,0,1,0
4481,0,0,1,2,0,0,0,0,1,1,1,1,0,0,1,0
7641,0,0,1,5,0,0,0,0,0,1,0,1,0,0,1,0
1109,0,0,1,3,0,0,0,0,0,1,0,1,1,1,1,1
7024,0,0,0,3,0,0,0,1,0,1,0,1,0,0,1,0
4085,0,0,1,2,0,0,1,0,0,1,0,0,0,0,1,1
6497,0,0,0,3,0,0,0,0,0,0,0,1,0,0,1,0
4482,0,0,1,4,0,0,0,0,0,1,1,1,0,0,1,1
6220,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
528,0,0,1,4,0,0,0,0,0,1,1,1,0,0,1,0
2577,0,0,1,10,0,0,0,0,0,1,0,1,0,0,1,0
7184,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0
4791,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0
6568,0,0,1,4,0,0,0,0,0,1,0,1,0,0,1,0
7737,0,0,1,7,0,0,0,0,0,1,1,1,0,0,1,0
6558,0,0,1,7,0,0,1,0,0,0,0,0,1,0,1,0
6790,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0
6065,0,0,1,5,0,0,0,0,0,1,0,0,1,0,1,0
1861,0,0,1,2,0,0,0,0,0,1,0,0,1,1,1,1
2943,0,0,1,10,0,0,0,0,0,1,0,1,0,0,1,0
7203,0,0,1,4,0,0,0,0,0,1,0,1,0,0,1,0
1695,0,0,1,4,0,0,0,0,0,0,0,1,0,0,1,0
2915,0,0,1,6,0,0,0,0,0,1,1,1,0,0,1,0
8309,0,0,1,5,0,0,0,0,0,1,0,0,0,0,1,0
3944,0,0,1,3,0,0,0,0,0,1,1,1,0,0,1,1
5097,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0
211,0,0,1,1,0,0,0,0,1,0,1,1,1,0,1,0
1147,0,0,1,4,0,0,0,0,0,1,0,1,0,0,1,0
470,0,0,1,4,0,0,0,0,0,1,1,1,0,0,1,0
2858,0,0,1,7,0,0,0,0,0,1,1,1,0,0,1,1
9978,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0
9306,0,0,1,3,0,0,0,0,0,1,0,0,0,0,1,0
7446,0,0,1,2,0,0,0,0,1,1,1,1,1,1,1,1
3975,0,0,1,4,0,0,0,0,0,0,0,1,0,0,1,0
9764,0,0,1,8,0,0,0,0,0,1,0,1,1,0,1,0
2268,0,0,1,2,0,0,0,0,0,1,0,1,0,0,1,0
9237,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0
4862,0,0,1,2,0,0,0,0,0,1,1,1,0,0,1,0
7324,0,0,1,8,0,0,0,0,0,1,0,1,0,0,1,0
7768,0,0,1,6,0,0,0,1,0,1,0,1,0,0,1,0
3377,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0
6073,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0
5081,0,0,1,4,0,0,0,0,0,0,0,1,0,0,1,0
3123,0,0,1,2,0,0,0,0,0,1,1,1,0,0,1,0
6538,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0
508,0,0,1,2,0,0,0,0,0,1,0,0,1,1,1,1
8992,0,0,0,1,0,0,1,0,0,1,1,1,1,1,1,1
6203,0,0,1,2,0,0,0,0,0,0,0,1,1,1,1,1
4468,0,0,1,5,0,0,0,0,0,1,1,1,0,0,1,0
2256,0,0,1,5,0,0,0,0,0,1,1,1,0,0,1,1
9929,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0
9241,0,0,0,2,0,0,0,0,0,1,0,1,0,0,1,0
3348,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0
8491,0,0,0,1,0,0,0,0,1,1,1,1,0,0,1,0
8578,0,0,1,5,0,0,1,0,1,1,1,1,0,0,1,0
4884,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0
1939,0,0,1,4,0,0,0,0,0,1,1,1,0,0,1,0
5146,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
88,0,0,1,2,0,0,0,0,1,1,1,1,0,0,1,0
6339,0,0,0,3,0,0,0,0,0,1,0,1,0,0,1,0
8337,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0
9595,0,0,0,3,0,0,0,0,0,1,0,0,1,1,1,1
9856,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0
4911,0,0,1,2,0,0,0,0,0,1,0,0,1,1,1,1
4323,0,0,1,2,0,0,0,0,0,1,0,0,0,0,1,0
877,0,1,1,2,0,0,0,0,0,1,0,1,0,0,1,0
853,0,0,1,10,0,0,0,0,0,1,0,1,0,0,1,0
5480,0,0,1,4,0,0,1,0,0,1,0,0,0,0,1,0
3860,0,0,1,2,0,0,0,0,0,1,0,1,1,1,1,1
651,0,0,1,4,0,0,0,0,0,1,0,1,0,0,1,0
2424,0,0,1,3,0,0,0,0,0,0,0,1,0,0,1,0
2841,0,0,1,3,0,0,0,0,1,1,1,1,0,0,1,0
7121,0,0,1,2,0,0,0,0,0,1,1,1,0,0,1,0
9053,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0
4114,0,0,1,3,0,0,0,0,1,1,1,1,0,0,1,0
844,0,0,1,2,0,0,0,0,0,1,0,1,1,1,1,1
4517,0,0,1,3,0,0,0,0,1,1,1,1,0,0,1,0
5110,0,0,0,2,0,0,0,0,0,1,0,1,0,0,1,0
6787,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,1
7005,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
5801,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
1626,0,0,1,7,0,0,0,0,0,1,0,0,0,0,1,0
2770,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0
4974,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0
6788,0,0,1,7,0,0,0,0,0,1,0,1,0,0,1,0
6864,0,0,1,7,0,0,0,0,0,1,0,1,0,0,1,0
1093,0,0,1,2,0,0,0,0,0,1,1,1,0,0,1,0
7289,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0
6409,0,1,1,7,0,0,0,0,0,1,0,1,0,0,1,0
8197,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0
6240,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
7722,0,0,1,2,0,0,1,0,0,1,0,0,0,0,1,0
4940,0,0,1,3,0,0,0,0,0,1,1,1,0,0,1,1
6584,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0
5098,0,0,1,5,0,0,0,0,0,1,0,0,0,0,1,0
5332,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0
363,0,0,1,7,0,0,1,0,0,1,0,0,0,0,1,1
309,0,0,1,2,0,0,0,0,0,1,0,1,0,0,1,1
3629,0,0,1,6,0,0,0,0,0,1,0,0,0,0,1,0
6729,0,0,1,2,0,0,0,0,0,1,0,0,0,0,1,0
2461,0,0,1,2,0,0,0,0,0,1,0,1,0,0,1,1
389,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0
7850,0,0,1,2,0,0,0,1,0,1,0,1,0,0,1,0
9862,0,0,1,8,0,0,0,0,1,1,1,1,0,0,1,1
8890,0,0,0,2,0,0,0,0,0,0,1,1,0,0,1,0
7835,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
9836,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0
2882,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0
6125,0,1,1,4,0,0,0,1,0,1,1,1,0,0,1,0
3581,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0
3059,0,0,1,4,0,0,0,0,0,1,0,1,0,0,1,0
4372,0,0,1,4,0,0,0,0,0,1,1,1,0,0,1,0
3417,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0
6270,0,0,1,3,0,0,0,1,0,1,0,1,0,0,1,0
7232,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0
7808,0,1,1,7,0,0,0,0,0,1,0,1,0,0,1,0
1904,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0
1511,0,0,1,4,0,0,0,0,0,1,1,1,0,0,1,1
1118,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0
1518,0,0,1,4,0,0,0,0,0,1,1,1,0,0,1,0
232,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0
1731,0,1,1,2,0,0,0,0,0,1,0,1,0,0,1,1
4861,0,0,1,4,0,0,0,0,0,1,1,1,0,0,1,0
1111,0,0,1,3,1,0,0,0,0,1,0,1,0,0,1,0
6673,0,1,1,2,0,0,1,0,1,1,1,1,0,0,1,0
4321,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0
770,0,0,1,5,0,0,0,0,0,1,0,1,0,0,1,0
8886,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1
7716,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0
4089,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0
8371,0,0,1,3,0,0,0,0,0,1,1,1,0,0,1,0
6223,0,0,1,1,1,0,0,0,1,1,1,1,0,0,1,0
2308,0,0,1,2,0,0,0,0,1,1,1,1,0,0,1,0
6799,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0
7494,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1
5213,0,0,1,4,0,0,1,0,0,1,1,1,0,0,1,0
2282,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0
166,0,0,1,10,0,0,0,0,0,1,0,1,0,0,1,0
865,0,0,1,2,0,0,0,0,0,0,1,1,0,0,1,0
7339,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0
1821,0,0,1,2,0,0,0,0,0,0,1,1,0,0,1,0
7441,0,0,0,3,0,0,0,0,0,1,0,1,0,0,1,0
2006,0,0,1,7,0,0,1,0,0,1,0,0,0,0,1,1
4266,0,0,1,5,0,0,0,0,0,1,0,1,0,0,1,0
5566,0,0,1,7,0,0,0,0,0,1,1,1,0,0,1,0
9058,0,0,1,4,0,0,0,0,0,1,0,1,0,0,1,0
1032,0,0,1,2,0,0,0,0,0,1,1,1,0,0,1,0
5583,0,0,1,5,0,0,0,0,0,1,1,1,0,0,1,0
2914,0,0,1,2,0,0,1,0,0,1,1,1,0,0,1,0
3254,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0
9404,0,0,1,3,0,0,0,0,0,1,1,1,1,1,1,1
9288,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1
7372,0,0,0,2,0,0,0,0,0,1,1,0,0,0,1,0
140,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0
445,0,0,1,3,0,0,0,0,1,1,1,1,0,0,1,0
8236,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1
3132,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0
9678,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0
9227,0,0,1,4,0,0,0,0,1,1,1,1,0,0,1,0
7153,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0
5802,0,0,0,3,0,0,0,0,0,1,0,0,0,0,1,0
9960,0,0,1,2,0,0,0,0,0,1,0,1,0,0,1,0
2135,0,0,1,4,0,0,0,0,0,1,0,1,0,0,1,0
4136,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0
6971,0,0,0,1,0,0,0,1,0,1,0,1,1,1,1,1
8720,0,0,1,5,0,0,0,0,0,1,0,0,0,0,1,0
7752,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0
6224,0,0,0,4,0,0,0,0,0,1,0,0,0,0,1,0
2490,0,0,1,4,0,0,0,0,0,1,0,1,0,0,1,0
9822,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0
